sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
135,5,A,,bus:Entity Party Reporting Calendar Period Description,,0..1,,A description of this specific reporting period in this calendar.,bus,bus:Reporting Calendar_ Period,BU12b_02,/BT30a/BU13b/BU12b/BU12b_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period.bus:Entity Party Reporting Calendar Period Description,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd.BusnPartReprCalnPerdDesc,期間説明,このカレンダーにおけるこの特定の期間の説明。,bus:entityPartyReportingCalendarPeriodDescription,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodDescription
136,5,A,,bus:Entity Party Reporting Calendar Period Start Date,,0..1,,The beginning date/time of a period,bus,bus:Reporting Calendar_ Period,BU12b_03,/BT30a/BU13b/BU12b/BU12b_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period.bus:Entity Party Reporting Calendar Period Start Date,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd.BusnPartReprCalnPerdStarDat,期間開始日付,期間の開始日付/時刻,bus:entityPartyReportingCalendarPeriodStartDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodStartDate
137,5,A,,bus:Entity Party Reporting Calendar Period End Date,,0..1,,The ending date/time of a period,bus,bus:Reporting Calendar_ Period,BU12b_04,/BT30a/BU13b/BU12b/BU12b_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period.bus:Entity Party Reporting Calendar Period End Date,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd.BusnPartReprCalnPerdEndDat,期間終了日付,期間の終了日付/時刻,bus:entityPartyReportingCalendarPeriodEndDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodEndDate
138,5,A,,bus:Entity Party Reporting Calendar Period Closed Date,,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",bus,bus:Reporting Calendar_ Period,BU12b_05,/BT30a/BU13b/BU12b/BU12b_05,$.btx:Business Transactions.cor:Entity_ Party.bus:Entity Party_ Reporting Calendar.bus:Reporting Calendar_ Period.bus:Entity Party Reporting Calendar Period Closed Date,BtxbTran.CornPart.BusnPartReprCaln.BusrCalnPerd.BusnPartReprCalnPerdClosDat,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",bus:entityPartyReportingCalendarPeriodClosedDate,/btx:businessTransactions/cor:entityParty/bus:entityPartyReportingCalendar/bus:entityPartyReportingCalendarPeriod/bus:entityPartyReportingCalendarPeriodClosedDate
139,3,C,,bus:Entity Party Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Phone,BU02c,/BT30a/BU02c,$.btx:Business Transactions.cor:Entity_ Party.bus:Phone,BtxbTran.CornPart.Busp,【電話番号】,電話番号情報（通信手段の特化）。,bus:entityPartyPhone,/btx:businessTransactions/cor:entityParty/bus:entityPartyPhone
140,4,A,,bus:Entity Party Phone URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Phone,BU02c_01,/BT30a/BU02c/BU02c_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Phone.bus:Phone URI Identifier,BtxbTran.CornPart.Busp.BuspUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyPhoneUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneUriIdentifier
141,4,A,,bus:Entity Party Phone Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Phone,BU02c_02,/BT30a/BU02c/BU02c_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Phone.bus:Phone Channel Code,BtxbTran.CornPart.Busp.BuspChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyPhoneChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneChannelCode
142,4,A,,bus:Entity Party Phone Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Phone,BU02c_03,/BT30a/BU02c/BU02c_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Phone.bus:Phone Complete Number,BtxbTran.CornPart.Busp.BuspCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyPhoneCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneCompleteNumber
143,4,A,,bus:Entity Party Phone Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Phone,BU02c_04,/BT30a/BU02c/BU02c_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Phone.bus:Phone Use Code,BtxbTran.CornPart.Busp.BuspUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyPhoneUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneUseCode
144,3,C,,bus:Entity Party Fax,,0..*,,Fax number information.,bus,bus:Fax,BU03c,/BT30a/BU03c,$.btx:Business Transactions.cor:Entity_ Party.bus:Fax,BtxbTran.CornPart.Busf,【FAX番号】,FAX番号情報。,bus:entityPartyFax,/btx:businessTransactions/cor:entityParty/bus:entityPartyFax
145,4,A,,bus:Entity Party Fax URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Fax,BU03c_01,/BT30a/BU03c/BU03c_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Fax.bus:Fax URI Identifier,BtxbTran.CornPart.Busf.BusfUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyFaxUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyFax/bus:entityPartyFaxUriIdentifier
146,4,A,,bus:Entity Party Fax Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Fax,BU03c_02,/BT30a/BU03c/BU03c_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Fax.bus:Fax Channel Code,BtxbTran.CornPart.Busf.BusfChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyFaxChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyFax/bus:entityPartyFaxChannelCode
147,4,A,,bus:Entity Party Fax Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Fax,BU03c_03,/BT30a/BU03c/BU03c_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Fax.bus:Fax Complete Number,BtxbTran.CornPart.Busf.BusfCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyFaxCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyFax/bus:entityPartyFaxCompleteNumber
148,4,A,,bus:Entity Party Fax Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Fax,BU03c_04,/BT30a/BU03c/BU03c_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Fax.bus:Fax Use Code,BtxbTran.CornPart.Busf.BusfUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyFaxUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyFax/bus:entityPartyFaxUseCode
149,3,C,,bus:Entity Party Email,,0..*,,Email address information.,bus,bus:Email,BU04c,/BT30a/BU04c,$.btx:Business Transactions.cor:Entity_ Party.bus:Email,BtxbTran.CornPart.Busm,【Eメールアドレス】,Eメールアドレス情報。,bus:entityPartyEmail,/btx:businessTransactions/cor:entityParty/bus:entityPartyEmail
150,4,A,,bus:Entity Party Email URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Email,BU04c_01,/BT30a/BU04c/BU04c_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Email.bus:Email URI Identifier,BtxbTran.CornPart.Busm.BusmUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyEmailUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyEmail/bus:entityPartyEmailUriIdentifier
151,4,A,,bus:Entity Party Email Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Email,BU04c_02,/BT30a/BU04c/BU04c_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Email.bus:Email Channel Code,BtxbTran.CornPart.Busm.BusmChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyEmailChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyEmail/bus:entityPartyEmailChannelCode
152,4,A,,bus:Entity Party Email Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Email,BU04c_03,/BT30a/BU04c/BU04c_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Email.bus:Email Complete Number,BtxbTran.CornPart.Busm.BusmCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyEmailCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyEmail/bus:entityPartyEmailCompleteNumber
