name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　　　　　買建通貨オプション,0,流動資産,,買建通貨オプション,,1,5,10A101000,Purchased currency options
　　　　　通貨オプション,0,流動資産,,通貨オプション,,1,5,10A101010,Currency options
　　　　　オプション資産,0,流動資産,,オプション資産,,1,5,10A101020,Options
　　　　前払年金費用,0,流動資産,,前払年金費用,,1,4,10A101030,Prepaid pension cost
　　　　流動資産に属する資産に係る引当金,,流動資産,,流動資産に属する資産に係る引当金,,T,4,10A101040,Allowance - current assets
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A101050,Allowance for doubtful accounts
　　　　信用保証割賦売掛金,0,流動資産,,信用保証割賦売掛金,,1,4,10A101060,Accounts receivable - installment sales - credit guarantee
　　　　寄託有価証券,0,流動資産,,寄託有価証券,,1,4,10A101070,Securities in deposit
　　　　商業手形,0,流動資産,,商業手形,,1,4,10A101080,Commercial notes
　　　　貸借取引貸付金,0,流動資産,,貸借取引貸付金,,1,4,10A101090,Loans on margin transaction
　　　　一般貸付金,0,流動資産,,一般貸付金,,1,4,10A101100,General loans
　　　　公社債貸付金,0,流動資産,,公社債貸付金,,1,4,10A101110,Bond financing
　　　　貸付有価証券,0,流動資産,,貸付有価証券,,1,4,10A101120,Securities lent
　　　　借入有価証券代り金,0,流動資産,,借入有価証券代り金,,1,4,10A101130,Collateral money for securities borrowed
　　　　買取債権,0,流動資産,,買取債権,,1,4,10A101140,Purchased receivables
　　　　その他,0,流動資産,,その他,,1,4,10A101150,Other
　　　　流動資産,0,流動資産,,流動資産,,1,4,10A101160,Current assets
　　　固定資産,,固定資産,,固定資産,,T,3,10A200010,Non-current assets
　　　　有形固定資産,,有形固定資産,,有形固定資産,,T,4,10A210010,"Property, plant and equipment"
　　　　　建物及び暖房、照明、通風等の附属設備,,有形固定資産,,建物及び暖房、照明、通風等の附属設備,,T,5,10A210020,"Buildings and other facilities - heating, illumination, ventilation and other"
　　　　　　建物,0,有形固定資産,,建物,,1,6,10A210030,Buildings
