sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1104,4,A,,Code Related to Type of Periods,Char,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-cor,0,Reporting Calendar,BU10a_04,/CO12a/CO03a/BU10a/BU10a_04,$.Accounting Entries.Entity Information.Reporting Calendar.Code Related to Type of Periods,AccntEntrs.EnttyInfrm.RprtCalnd.CdReltdTTypOfPerds,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他) ",gl-bus:reportingCalendarPeriodType
1105,4,A,,Description of periods,Text,0..1,,A description of the type of period involved.,gl-cor,0,Reporting Calendar,BU10a_05,/CO12a/CO03a/BU10a/BU10a_05,$.Accounting Entries.Entity Information.Reporting Calendar.Description of periods,AccntEntrs.EnttyInfrm.RprtCalnd.DscrOfPerds,期間種別説明,報告期間の種別の説明。,gl-bus:reportingCalendarPeriodTypeDescription
1106,4,A,,Closed status,Char,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-cor,0,Reporting Calendar,BU10a_06,/CO12a/CO03a/BU10a/BU10a_06,$.Accounting Entries.Entity Information.Reporting Calendar.Closed status,AccntEntrs.EnttyInfrm.RprtCalnd.ClsdStat,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中) ",gl-bus:reportingCalendarOpenClosedStatus
1107,4,A,,Reporting Purpose,Name,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-cor,0,Reporting Calendar,BU10a_07,/CO12a/CO03a/BU10a/BU10a_07,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Purpose,AccntEntrs.EnttyInfrm.RprtCalnd.RprtPrps,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",gl-bus:reportingPurpose
1108,4,A,,Reporting Purpose Description,Text,0..1,,Free format description of the reporting purpose,gl-cor,0,Reporting Calendar,BU10a_08,/CO12a/CO03a/BU10a/BU10a_08,$.Accounting Entries.Entity Information.Reporting Calendar.Reporting Purpose Description,AccntEntrs.EnttyInfrm.RprtCalnd.RprtPrpsDscr,報告目的説明,報告目的の説明。,gl-bus:reportingPurposeDescription
1109,4,C,,Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,gl-cor,0,Period,BU09a,/CO12a/CO03a/BU10a/BU09a,$.Accounting Entries.Entity Information.Reporting Calendar.Period,AccntEntrs.EnttyInfrm.RprtCalnd.Per,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,gl-bus:reportingCalendarPeriod
1110,5,A,PK,ID,Identifier,0..1,,An identifier for this period in this calendar,gl-cor,0,Period,BU09a_01,/CO12a/CO03a/BU10a/BU09a/BU09a_01,$.Accounting Entries.Entity Information.Reporting Calendar.Period.ID,AccntEntrs.EnttyInfrm.RprtCalnd.Per.Id,報告期間識別子,このカレンダーにおけるこの期間の識別子。,gl-bus:periodIdentifier
1111,5,A,,Description,Text,0..1,,A description of this specific reporting period in this calendar.,gl-cor,0,Period,BU09a_02,/CO12a/CO03a/BU10a/BU09a/BU09a_02,$.Accounting Entries.Entity Information.Reporting Calendar.Period.Description,AccntEntrs.EnttyInfrm.RprtCalnd.Per.Dscr,期間説明,このカレンダーにおけるこの特定の期間の説明。,gl-bus:periodDescription
1112,5,A,,Start Date,Date,0..1,,The beginning date/time of a period,gl-cor,0,Period,BU09a_03,/CO12a/CO03a/BU10a/BU09a/BU09a_03,$.Accounting Entries.Entity Information.Reporting Calendar.Period.Start Date,AccntEntrs.EnttyInfrm.RprtCalnd.Per.StrtDt,期間開始日付,期間の開始日付/時刻,gl-bus:periodStart
1113,5,A,,End Date,Date,0..1,,The ending date/time of a period,gl-cor,0,Period,BU09a_04,/CO12a/CO03a/BU10a/BU09a/BU09a_04,$.Accounting Entries.Entity Information.Reporting Calendar.Period.End Date,AccntEntrs.EnttyInfrm.RprtCalnd.Per.EndDt,期間終了日付,期間の終了日付/時刻,gl-bus:periodEnd
