sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element
1317,4,C,,Measurable,,0..*,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,0,Measurable,BU05a,/CO02a/CO06a/CO05a/BU05a,$.Accounting Entries.Entry Header.Entry Detail.Measurable,AccntEntrs.EntryHedr.EntryDetl.Mesrb,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
1318,5,A,,Measurable Code,xbrli:stringItemType,0..1,,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-cor,0,Measurable,BU05a_01,/CO02a/CO06a/CO05a/BU05a/BU05a_01,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Code,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbCd,計測可能物コード,計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他\n[設定値のリスト]\n(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他),gl-bus:measurableCode
1319,5,A,,Measurable Code Description,xbrli:stringItemType,0..1,,Free format description of the measurable code,gl-cor,0,Measurable,BU05a_02,/CO02a/CO06a/CO05a/BU05a/BU05a_02,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Code Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbCdDscr,計測可能物コード説明,計測可能物のコードの説明。,gl-bus:measurableCodeDescription
1320,5,A,,Measurable Category,xbrli:stringItemType,0..1,,Category of the measurable,gl-cor,0,Measurable,BU05a_03,/CO02a/CO06a/CO05a/BU05a/BU05a_03,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Category,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbCatgr,計測可能物カテゴリ,計測可能物のカテゴリ。,gl-bus:measurableCategory
1321,5,A,,Measurable Identification,xbrli:stringItemType,0..1,,Internal inventory part or SKU number or other code identifier for the measurable.,gl-cor,0,Measurable,BU05a_04,/CO02a/CO06a/CO05a/BU05a/BU05a_04,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Identification,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbIdntf,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,gl-bus:measurableID
1322,5,A,,Schema for Measurable Identification,xbrli:stringItemType,0..1,,URI or other identifier for schema with which measurable ID can be validated,gl-cor,0,Measurable,BU05a_05,/CO02a/CO06a/CO05a/BU05a/BU05a_05,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Schema for Measurable Identification,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SchmFrMesrbIdntf,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDSchema
1323,5,A,,Secondary Measurable Identifier,xbrli:stringItemType,0..1,,Second identifier (such as vendor's item number),gl-cor,0,Measurable,BU05a_06,/CO02a/CO06a/CO05a/BU05a/BU05a_06,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Secondary Measurable Identifier,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SecndMesrbIdntf,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,gl-bus:measurableIDOther
1324,5,A,,Schema for Secondary Measurable Identification,xbrli:stringItemType,0..1,,URI or other identifier for schema with which measurable ID Other can be validated,gl-cor,0,Measurable,BU05a_07,/CO02a/CO06a/CO05a/BU05a/BU05a_07,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Schema for Secondary Measurable Identification,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SchmFrSecndMesrbIdntf,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDOtherSchema
1325,5,A,,Measurable Description,xbrli:stringItemType,0..1,,Text description of measurable (e.g. inventory item or other identifier),gl-cor,0,Measurable,BU05a_08,/CO02a/CO06a/CO05a/BU05a/BU05a_08,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbDscr,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）\n,gl-bus:measurableDescription
1326,5,A,,Quantity,xbrli:stringItemType,0..1,,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-cor,0,Measurable,BU05a_09,/CO02a/CO06a/CO05a/BU05a/BU05a_09,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Quantity,AccntEntrs.EntryHedr.EntryDetl.Mesrb.Qt,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,gl-bus:measurableQuantity
1327,5,A,,Qualifier,xbrli:stringItemType,0..1,,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",gl-cor,0,Measurable,BU05a_10,/CO02a/CO06a/CO05a/BU05a/BU05a_10,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Qualifier,AccntEntrs.EntryHedr.EntryDetl.Mesrb.Qlfr,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,gl-bus:measurableQualifier
1328,5,A,,Unit of Measure,xbrli:stringItemType,0..1,,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",gl-cor,0,Measurable,BU05a_11,/CO02a/CO06a/CO05a/BU05a/BU05a_11,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Unit of Measure,AccntEntrs.EntryHedr.EntryDetl.Mesrb.UntOfMesr,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,gl-bus:measurableUnitOfMeasure
1329,5,A,,Per Unit Cost/Price,xbrli:stringItemType,0..1,,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",gl-cor,0,Measurable,BU05a_12,/CO02a/CO06a/CO05a/BU05a/BU05a_12,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Per Unit Cost/Price,AccntEntrs.EntryHedr.EntryDetl.Mesrb.PerUntCstpr,単価,計測可能物の単価。measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。,gl-bus:measurableCostPerUnit
1330,5,A,,Start Time,xbrli:stringItemType,0..1,,Start time of the duration being measured,gl-cor,0,Measurable,BU05a_13,/CO02a/CO06a/CO05a/BU05a/BU05a_13,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Start Time,AccntEntrs.EntryHedr.EntryDetl.Mesrb.StrtTm,開始日時,計量期間の開始時刻。,gl-bus:measurableStartDateTime
1331,5,A,,End Time,xbrli:stringItemType,0..1,,End time of the duration being measured,gl-cor,0,Measurable,BU05a_14,/CO02a/CO06a/CO05a/BU05a/BU05a_14,$.Accounting Entries.Entry Header.Entry Detail.Measurable.End Time,AccntEntrs.EntryHedr.EntryDetl.Mesrb.EndTm,終了日時,計量期間の終了時刻。,gl-bus:measurableEndDateTime
1332,5,A,,Measurable Class ID,xbrli:stringItemType,0..1,,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",gl-cor,0,Measurable,BU05a_EH05_16,/CO02a/CO06a/CO05a/BU05a/BU05a_EH05_16,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Class ID,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbClssId,測定可能なクラスID,在庫、固定資産、またはその他の測定可能なクラスを識別するための列挙されたコード。列挙：原材料、仕掛品、完成品、組立品、消耗品、土地、建物、機械、家具、車両、その他。,gl-ehm:measurableClassID
1333,5,A,,Measurable Class Description,xbrli:stringItemType,0..1,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,gl-cor,0,Measurable,BU05a_EH05_17,/CO02a/CO06a/CO05a/BU05a/BU05a_EH05_17,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Measurable Class Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.MesrbClssDscr,測定可能なクラスの説明,gl-ehm：measurableClassIDに関連付けられた自由形式の説明で、他の列挙値の特殊化または明確化を提供します。,gl-ehm:measurableClassDescription
1334,5,A,,Costing Method Code,xbrli:stringItemType,0..1,,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",gl-cor,0,Measurable,BU05a_EH05_18,/CO02a/CO06a/CO05a/BU05a/BU05a_EH05_18,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Costing Method Code,AccntEntrs.EntryHedr.EntryDetl.Mesrb.CstngMethdCd,原価計算方法コード,在庫（または他の測定可能な）原価計算方法の列挙されたコード。列挙：LIFO、FIFO、平均、加重平均、標準コスト、税ベース、帳簿ベース、その他。,gl-ehm:costingMethodCode
1335,5,A,,Costing Method Description,xbrli:stringItemType,0..1,,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,gl-cor,0,Measurable,BU05a_EH05_19,/CO02a/CO06a/CO05a/BU05a/BU05a_EH05_19,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Costing Method Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.CstngMethdDscr,原価計算方法の説明,gl-ehm：costingMethodCodeに関連付けられた自由形式の説明。他の列挙値の明確化を専門化します。,gl-ehm:costingMethodDescription
1336,5,A,,Geospatial Coordinate,xbrli:stringItemType,0..1,,"Enter a relevant location for this item. Format can be either:\n- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E\n- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418\n- Decimal degrees (DD): 41.40338, 2.17403",gl-cor,0,Measurable,BU05a_EH05_20,/CO02a/CO06a/CO05a/BU05a/BU05a_EH05_20,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Geospatial Coordinate,AccntEntrs.EntryHedr.EntryDetl.Mesrb.GesptCrdnt,地理空間座標,"このアイテムに関連する場所を入力します。形式は次のいずれかになります。\n-度、分、秒（DMS）：41°24'12.2""N2°10'26.5""E \ n-度と小数分（DMM）：41 24.2028、2 10.4418 \ n -10度（DD）：41.40338、2.17403",gl-ehm:geospatialCoordinate
1337,5,C,,Serial Lot,,0..1,,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-cor,0,Serial Lot,EH01a,/CO02a/CO06a/CO05a/BU05a/EH01a,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt,シリアルロット,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。,gl-ehm:serialLot
1338,6,A,,Serial Lot Code,xbrli:stringItemType,0..1,,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-cor,0,Serial Lot,EH01a_01,/CO02a/CO06a/CO05a/BU05a/EH01a_01,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Code,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtCd,シリアルロットコード,このアイテムはシリアル番号またはロット番号で追跡されていますか？シリアル番号は通常、単一に割り当てられた一意の番号です。アイテムのバッチがファンジブルであるが、他のバッチの同様のアイテムと区別する必要がある場合は、ロット番号またはバッチ番号が提供されます。シリアルまたはロットアイテムの列挙型インジケーター。列挙は、シリアル、ロット、その他、どちらでもありません。タプルに含まれていない場合、どちらも想定されません。,gl-ehm:serialLotCode
1339,6,A,,Serial Lot Description,xbrli:stringItemType,0..1,,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-cor,0,Serial Lot,EH01a_02,/CO02a/CO06a/CO05a/BU05a/EH01a_02,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtDscr,シリアルロットの説明,gl-ehm：serialLotCodeに関連付けられた自由形式の説明。特殊化を提供し、特にserialLotCode内の他の列挙値を明確にします。例としては、「バッチ」や「グループ」などがあります。,gl-ehm:serialLotDescription
1340,6,A,,Serial Lot Number,xbrli:stringItemType,0..1,,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-cor,0,Serial Lot,EH01a_03,/CO02a/CO06a/CO05a/BU05a/EH01a_03,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Number,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtNr,シリアルロット番号,アイテムまたはアイテムのバッチに割り当てられた実際のシリアル番号またはロット（バッチ）番号/コードの所有者。,gl-ehm:serialLotNumber
1341,6,A,,Next Serial Lot Number,xbrli:stringItemType,0..1,,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-cor,0,Serial Lot,EH01a_04,/CO02a/CO06a/CO05a/BU05a/EH01a_04,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Next Serial Lot Number,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.NextSerlLtNr,次のシリアルロット番号,将来の割り当てに与えられる次の予想されるシリアル番号またはロット番号を保持するためのフィールド、またはすでに割り当てられたアイテム間のチェーンのためのフィールド。,gl-ehm:nextSerialLotNumber
1342,6,A,,Serial Lot Quantity,xbrli:stringItemType,0..1,,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,gl-cor,0,Serial Lot,EH01a_05,/CO02a/CO06a/CO05a/BU05a/EH01a_05,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Quantity,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtQt,シリアルロット数量,この特定のバッチのユニット数。測定単位はgl-bus：measurableUnitofMeasureです。,gl-ehm:serialLotQuantity
1343,6,A,,Serial Lot Original Quantity,xbrli:stringItemType,0..1,,The quantity of units in this batch on inception.,gl-cor,0,Serial Lot,EH01a_06,/CO02a/CO06a/CO05a/BU05a/EH01a_06,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Original Quantity,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtOrgnlQt,シリアルロット元の数量,開始時のこのバッチのユニット数。,gl-ehm:serialLotOriginalQuantity
1344,6,A,,Serial Lot Remaining Quantity,xbrli:stringItemType,0..1,,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-cor,0,Serial Lot,EH01a_07,/CO02a/CO06a/CO05a/BU05a/EH01a_07,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Remaining Quantity,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtRmngQt,シリアルロット残量,元のバッチの残りのユニット数。このバッチの数量と同じであるか、同じ元のバッチの他のバッチが含まれている可能性があります。,gl-ehm:serialLotRemainingQuantity
1345,6,A,,Serial Lot Origination,xbrli:stringItemType,0..1,,Date of manufacture or creation.,gl-cor,0,Serial Lot,EH01a_08,/CO02a/CO06a/CO05a/BU05a/EH01a_08,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Origination,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtOrgnt,シリアルロットオリジネーション,製造日または作成日。,gl-ehm:serialLotOrigination
1346,6,A,,Serial Lot Expiration,xbrli:stringItemType,0..1,,Expiration date of the batch.,gl-cor,0,Serial Lot,EH01a_09,/CO02a/CO06a/CO05a/BU05a/EH01a_09,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Expiration,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtExprt,シリアルロットの有効期限,バッチの有効期限。,gl-ehm:serialLotExpiration
1347,6,A,,Serial Lot Manufacturer,xbrli:stringItemType,0..1,,Manufacturer of the item (serial) or items (lot/batch).,gl-cor,0,Serial Lot,EH01a_10,/CO02a/CO06a/CO05a/BU05a/EH01a_10,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Manufacturer,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtManfc,シリアルロットメーカー,アイテム（シリアル）またはアイテム（ロット/バッチ）のメーカー。,gl-ehm:serialLotManufacturer
1348,6,A,,Serial Lot Batch Description,xbrli:stringItemType,0..1,,A name or description of the items in the lot or batch.,gl-cor,0,Serial Lot,EH01a_11,/CO02a/CO06a/CO05a/BU05a/EH01a_11,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Batch Description,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtBatchDscr,シリアルロットバッチの説明,ロットまたはバッチ内のアイテムの名前または説明。,gl-ehm:serialLotBatchDescription
1349,6,A,,Serial Lot Warranty Start Date,xbrli:stringItemType,0..1,,"If the items are covered by warranty, when that warranty covered will begin or has begun.",gl-cor,0,Serial Lot,EH01a_12,/CO02a/CO06a/CO05a/BU05a/EH01a_12,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty Start Date,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnStrtDt,シリアルロット保証開始日,アイテムが保証の対象である場合、その保証の対象となる時期が開始または開始されます。,gl-ehm:serialLotWarrantyStartDate
1350,6,A,,Serial Lot Warranty End Date,xbrli:stringItemType,0..1,,"If the items are covered by warranty, when that warranty covered will end or ended.",gl-cor,0,Serial Lot,EH01a_13,/CO02a/CO06a/CO05a/BU05a/EH01a_13,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty End Date,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnEndDt,シリアルロット保証終了日,アイテムが保証の対象である場合、その保証の対象となる時期は終了または終了します。,gl-ehm:serialLotWarrantyEndDate
1351,6,A,,Serial Lot Warranty Period,xbrli:stringItemType,0..1,,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",gl-cor,0,Serial Lot,EH01a_14,/CO02a/CO06a/CO05a/BU05a/EH01a_14,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty Period,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnPer,シリアルロット保証期間,保証期間–数値部分。 30日間の保証期間の場合、30はここに移動し、その日はgl-ehm：serialLotWarrantyPeriodUnitに移動します。,gl-ehm:serialLotWarrantyPeriod
1352,6,A,,Serial Lot Warranty Period Unit,xbrli:stringItemType,0..1,,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",gl-cor,0,Serial Lot,EH01a_15,/CO02a/CO06a/CO05a/BU05a/EH01a_15,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty Period Unit,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnPerUnt,シリアルロット保証期間単位,保証期間–時間またはサイクル単位の部分。可能な場合は、XBRLユニットレジストリ（www.xbrl.org/utr/utr.xml）の値が推奨されます。例としては、H（時間）、D（日）、M（月）、Y（年）、マシンサイクル、km（キロメートル）などがあります。,gl-ehm:serialLotWarrantyPeriodUnit
1353,6,A,,Serial Lot Warranty Vendor,xbrli:stringItemType,0..1,,The vendor providing warranty; this may differ from the manufacturer.,gl-cor,0,Serial Lot,EH01a_16,/CO02a/CO06a/CO05a/BU05a/EH01a_16,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty Vendor,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnVendr,シリアルロット保証ベンダー,保証を提供するベンダー。これはメーカーとは異なる場合があります。,gl-ehm:serialLotWarrantyVendor
1354,6,A,,Serial Lot Warranty Contract,xbrli:stringItemType,0..1,,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",gl-cor,0,Serial Lot,EH01a_17,/CO02a/CO06a/CO05a/BU05a/EH01a_17,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Warranty Contract,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtWarrnContr,シリアルロット保証契約,契約番号と日付、または詳細情報を含むURLなど、保証に関連する契約または文書情報。,gl-ehm:serialLotWarrantyContract
1355,6,A,,Serial Lot Comment,xbrli:stringItemType,0..1,,Free format text related to the serial number or lot.,gl-cor,0,Serial Lot,EH01a_18,/CO02a/CO06a/CO05a/BU05a/EH01a_18,$.Accounting Entries.Entry Header.Entry Detail.Measurable.Serial Lot.Serial Lot Comment,AccntEntrs.EntryHedr.EntryDetl.Mesrb.SerlLt.SerlLtCmmnt,シリアルロットコメント,シリアル番号またはロットに関連するフリーフォーマットのテキスト。,gl-ehm:serialLotComment
1356,4,C,,Tax Details,,0..*,,Tuple for holding tax related information,gl-cor,0,Tax Details,CO11a,/CO02a/CO06a/CO05a/CO11a,$.Accounting Entries.Entry Header.Entry Detail.Tax Details,AccntEntrs.EntryHedr.EntryDetl.TxDtls,【税情報】,税関連の情報のタプル。,gl-cor:taxes
1357,5,A,,Tax Authority,xbrli:stringItemType,0..1,,Name of the relevant tax authority,gl-cor,0,Tax Details,CO11a_01,/CO02a/CO06a/CO05a/CO11a/CO11a_01,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Authority,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxAthrt,課税庁,関係する課税庁の名前。,gl-cor:taxAuthority
1358,5,A,,Tax Table Code,xbrli:stringItemType,0..1,,Tax table code used by the relevant tax authority,gl-cor,0,Tax Details,CO11a_02,/CO02a/CO06a/CO05a/CO11a/CO11a_02,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Table Code,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxTablCd,税率表コード,関係する課税庁で使用される税率表のコード。,gl-cor:taxTableCode
1359,5,A,,Tax Description,xbrli:stringItemType,0..1,,Description of tax authority,gl-cor,0,Tax Details,CO11a_03,/CO02a/CO06a/CO05a/CO11a/CO11a_03,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Description,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxDscr,課税庁説明,課税庁の説明。,gl-cor:taxDescription
1360,5,A,,Amount of Taxes,xbrli:stringItemType,0..1,,Amount of taxes,gl-cor,0,Tax Details,CO11a_04,/CO02a/CO06a/CO05a/CO11a/CO11a_04,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Amount of Taxes,AccntEntrs.EntryHedr.EntryDetl.TxDtls.AmtOfTaxs,税額,税額。,gl-cor:taxAmount
1361,5,A,,Basis for Taxation,xbrli:stringItemType,0..1,,Basis for taxation,gl-cor,0,Tax Details,CO11a_05,/CO02a/CO06a/CO05a/CO11a/CO11a_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Basis for Taxation,AccntEntrs.EntryHedr.EntryDetl.TxDtls.BassFrTaxtn,課税基準,課税基準。,gl-cor:taxBasis
1362,5,A,,Tax Exchange Rate,xbrli:stringItemType,0..1,,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",gl-cor,0,Tax Details,CO11a_06,/CO02a/CO06a/CO05a/CO11a/CO11a_06,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Exchange Rate,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxExchnRat,[非推奨] 税額換算用レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,gl-cor:taxExchangeRate
1363,5,A,,Tax Percentage Rate,xbrli:stringItemType,0..1,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,0,Tax Details,CO11a_07,/CO02a/CO06a/CO05a/CO11a/CO11a_07,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Percentage Rate,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxPercRat,税率,VAT(物品税)またはその他の税のパーセント比率。0から1.0の間の値。たとえば50%は0.5とあらわす。,gl-cor:taxPercentageRate
1364,5,A,,Tax Category,xbrli:stringItemType,0..1,,A class or category of taxes,gl-cor,0,Tax Details,CO11a_08,/CO02a/CO06a/CO05a/CO11a/CO11a_08,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Category,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxCatgr,税区分,税のクラス又はカテゴリ。,gl-cor:taxCode
1365,5,A,,Tax Comment/Exemption Reason,xbrli:stringItemType,0..1,,Additional text/code for exemption reasons or other comments.,gl-cor,0,Tax Details,CO11a_09,/CO02a/CO06a/CO05a/CO11a/CO11a_09,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Comment/Exemption Reason,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxCmmntResn,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,gl-cor:taxCommentExemption
1366,5,A,,Tax Amount in Foreign Currency,xbrli:stringItemType,0..1,,"If the tax is in a foreign currency, the amount of tax in that currency",gl-cor,0,Tax Details,CO11a_MC11_10,/CO02a/CO06a/CO05a/CO11a/CO11a_MC11_10,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Amount in Foreign Currency,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxAmtInFrgnCur,外貨建税額,税が外貨建ての場合の、税額。,gl-muc:taxAmountForeignCurrency
1367,5,A,,Tax Foreign Currency,xbrli:stringItemType,0..1,,"If the tax is in a foreign currency, that currency",gl-cor,0,Tax Details,CO11a_MC11_11,/CO02a/CO06a/CO05a/CO11a/CO11a_MC11_11,$.Accounting Entries.Entry Header.Entry Detail.Tax Details.Tax Foreign Currency,AccntEntrs.EntryHedr.EntryDetl.TxDtls.TxFrgnCur,外貨建税額通貨,税が外貨建ての場合の、通貨。,gl-muc:taxCurrency
